,time_in_s,original_index,index
0,0.0,0,0
1,419.9778,5,1
2,779.9945,7,2
3,960.0141,8,3
4,1320.0067,10,4
5,1500.1061,11,5
6,1879.833,14,6
7,2240.0879,16,7
8,2400.0868,24,8
9,2820.6513,37,9
10,3000.6782,38,10
11,3360.2671,40,11
12,3600.4569,44,12
13,3900.4669,59,13
14,4200.6891,74,14
15,4660.7666,81,15
16,4880.6594,84,16
17,5100.6669,87,17
18,5460.6496,89,18
19,5820.7538,91,19
20,6000.7146,92,20
21,6360.706,94,21
22,6720.877,96,22
23,6900.7492,105,23
24,7200.9143,120,24
25,7501.1182,135,25
26,7801.2153,150,26
27,8101.3298,165,27
28,8401.8309,180,28
29,8701.6534,195,29
30,9103.4797,207,30
31,9322.3881,210,31
32,9741.7442,215,32
33,9921.7731,216,33
34,10281.7369,218,34
35,10641.3961,220,35
36,10821.7809,221,36
37,11181.7782,223,37
38,11541.813,225,38
39,11721.8961,226,39
40,12081.8162,228,40
41,12441.8288,230,41
42,12621.8547,231,42
43,12981.8577,233,43
44,13201.9313,244,44
45,13502.1341,259,45
46,13802.2769,274,46
47,14102.4253,289,47
48,14402.4942,304,48
49,14702.7225,319,49
50,15002.8298,334,50
51,15302.9102,349,51
52,15602.9444,364,52
53,16043.0159,370,53
54,16243.0189,372,54
55,16623.0043,375,55
56,16823.0153,377,56
57,17183.0499,379,57
58,17543.0869,381,58
59,17723.0941,382,59
60,18083.9056,384,60
61,18443.1116,386,61
62,18623.2207,387,62
63,18983.2242,389,63
64,19343.2737,391,64
65,19522.7061,392,65
66,19883.3038,394,66
67,20243.3095,396,67
68,20423.2911,397,68
69,20783.3689,399,69
70,21143.3886,401,70
71,21323.3974,402,71
72,21683.2984,404,72
73,22043.3913,406,73
74,22223.4051,407,74
75,22583.4515,409,75
76,22803.5458,412,76
77,23103.5016,427,77
78,23403.5692,442,78
79,23703.7975,457,79
80,24003.9006,472,80
81,24304.0247,487,81
82,24604.089,502,82
83,24904.1521,517,83
84,25204.3732,532,84
85,25504.5403,547,85
86,25804.6388,562,86
87,26104.6952,577,87
88,26404.9276,592,88
89,26705.0834,607,89
90,27005.1633,622,90
91,27305.212,637,91
92,27710.4535,641,92
93,27914.6717,643,93
94,28308.1674,647,94
95,28505.348,649,95
96,28869.7215,651,96
97,29225.3842,653,97
98,29405.4205,654,98
99,29765.4579,656,99
100,30125.4877,658,100
101,30305.5172,659,101
102,30665.5961,661,102
103,31025.556,663,103
104,31205.5828,664,104
105,31565.5719,666,105
106,31925.5645,668,106
107,32105.5875,669,107
108,32465.5867,671,108
109,32825.6299,673,109
110,33005.7002,674,110
111,33365.6138,676,111
112,33725.6356,678,112
113,33905.6634,679,113
114,34265.7251,681,114
115,34625.6358,683,115
116,34805.66,684,116
117,35165.7174,686,117
118,35525.6709,688,118
119,35705.7545,689,119
120,36065.7495,691,120
121,36425.7324,693,121
122,36605.7689,694,122
123,36965.7828,696,123
124,37325.7788,698,124
125,37505.7436,699,125
126,37865.8128,701,126
127,38225.8459,703,127
128,38405.8784,704,128
129,38765.8724,706,129
130,39125.9161,708,130
131,39305.9251,709,131
132,39665.9704,711,132
133,40025.9456,713,133
134,40205.9511,714,134
135,40565.9833,716,135
136,40926.0118,718,136
137,41106.0334,719,137
138,41466.082,721,138
139,41826.0605,723,139
140,42006.0796,724,140
